インターフェイスキーコード	コンテンツ区分	コンテンツ枝番	メドレー区分	メドレー枝番	コレクトコード	ＪＡＳＲＡＣ作品コード	原題名	副題・邦題	作詞者名	補作詞・訳詞者名	作曲者名	編曲者名	アーティスト名	情報料（税抜）	ＩＶＴ区分	原詞訳詞区分	IL区分	リクエスト回数
1		000		000		02438572	出会いの歌		渋谷　太郎		代々木　花子　		組曲　次郎	0	I			0
2		000		000		09876543	わたしの十八番		上原　歌夫		権利　マモル		信託　唱子	0	I			0
3		000		000		01472583	代々木の夏		著作　権太郎		演歌　唱子		地唄　奏美	0	I			0
4		000		000		09638527	渋谷の街で		日本　太郎		日本　太助		出版　唱男	0	I			0
5		000		000		06549873	やすらぎの記憶		音楽　好男		楽曲　好美		ライブラリー	0	I			0
6		000		000		08596743	それゆけジャスラック		童謡　唄子		童謡　唄子		長唄　次郎	0	I			0
7		000		000		07946135	晴れのち雨		唱　歌男		新曲　出夫		オンデマンド	0	I			0
8		000		000		06549872	上原白書		歌詞　読子		楽器　奏雄		演奏　三郎	0	I			0
9		000		000		0J528913	ＢＬＵＥＢＥＲＲＹ　ＪＡＭ		ＨＯＵＳＥ　ＰＡＮＫ		ＳＯＵＬ　ＴＲＡＣＫ		ＢＯＴＴＯＭＳ	0	I			0
10		000		000		0P951753	ＷＥＤＤＩＮＧ　ＤＡＹ		ＪＡＺＺ　ＰＯＰＭＡＮ		ＪＡＺＺ　ＰＯＰＭＡＮ		ＪＯＥ　ＳＴＲＥＡＭ	0	I			0
11		000		000		07411928	故郷		野　辰之　		岡野　貞一		石川　さゆり	0	I			0
12		000		000		05649731	ミズカマキリ		合唱　美歌		声楽　歌次郎		音楽組	0	I			0
